% Name            & glong   & glat     & rad & T_L  &sigTL& VLSR  &sigV & FWHM &sigDV& RMS & S/N \\
G357.626$-$00.082 & 357.626 & $-$0.082 & 190 & 4.4  & 0.3 & 3.1   & 1.2 & 37.5 & 2.9 & 2.3 & 5.3 \\
%G012.522$-$00.121 & 12.522  & $-$0.121 & 273 & 32.9 & 0.5 & 47.1  & 0.3 & 21.8 & 0.6 & 1.8 & 39.0 \\
G012.522$-$00.121* & 12.522 & $-$0.121 & 273 & 72.5 & 1.2 & 29.3  & 0.1 & 16.7 & 0.4 & 1.8 & 75.2 \\
G012.576+00.221   & 12.576  & 0.221    & 217 & 30.2 & 0.4 & 20.8  & 0.2 & 23.6 & 0.4 & 1.8 & 37.3 \\
G020.805+00.019   & 20.805  & 0.019    & 581 & 49.8 & 0.5 & 52.3  & 0.1 & 29.5 & 0.3 & 1.3 & 95.0 \\
%G024.147$-$00.547 & 24.147  & $-$0.547 & 179 & 19.2 & 0.5 & 101.9 & 0.4 & 28.7 & 1.1 & 4.1 \\
%G028.567+00.002   & 28.567  & 0.002    & 191 & 68.4 & 0.5 & 97.5  & 0.1 & 33.5 & 0.3 & 2.7 & 67.0 \\
G028.567+00.002*  & 28.567  & 0.002    & 191 & 18.5 & 0.4 & 41.3  & 0.3 & 27.2 & 0.7 & 2.7 & 16.2 \\
G028.618+00.177a  & 28.618  & 0.178    & 655 & 21.4 & 0.4 & 103.0 & 0.3 & 31.1 & 0.6 & 1.0 & 54.5 \\
G028.618+00.177b  & 28.618  & 0.178    & 655 & 5.7  & 0.2 & 33.4  & 0.5 & 26.1 & 1.5 & 1.0 & 13.3 \\
G028.618+00.177c  & 28.618  & 0.178    & 655 & 5.3  & 0.2 & 68.2  & 0.9 & 33.4 & 3.4 & 1.0 & 14.0 \\
G030.820$-$00.764 & 30.820  & $-$0.764 & 666 & 18.0 & 0.2 & 81.4  & 0.2 & 36.1 & 0.6 & 0.9 & 54.9 \\
%G030.820$-$00.764* & 30.820 & $-$0.764 & 666 & 29.3 & 5.5 & 38.6  & 12.3 & 105.1 & 10.1 & 0.9 \\
%G042.634+00.125   & 42.634  & 0.125    & 132 & 13.0 & 0.3 & 12.9  & 0.4 & 32.6 & 1.2 & 1.9 & 28.2 \\
G042.634+00.125*  & 42.634  & 0.125    & 132 & 8.7  & 0.3 & 63.1  & 0.6 & 36.4 & 1.5 & 1.9 & 20.0
